DATE,GDP,,,,,,,,,,,,,,,,
1/1/1947,243.164,1,,,,,,,,,,,,,,,
4/1/1947,245.968,2,,,,,,,,,,,,,,,
7/1/1947,249.585,3,,,,,,,,,,,,,,,
10/1/1947,259.745,4,,,,,,,,,,,,,,,
1/1/1948,265.742,5,,,,,,,,,,,,,,,
4/1/1948,272.567,6,,,,,,,,,,,,,,,
7/1/1948,279.196,7,,,,,,,,,,,,,,,
10/1/1948,280.366,8,,,,,,,,,,,,,,,
1/1/1949,275.034,9,,,,,,,,,,,,,,,
4/1/1949,271.351,10,,,,,,,,,,,,,,,
7/1/1949,272.889,11,,,,,,,,,,,,,,,
10/1/1949,270.627,12,,,,,,,,,,,,,,,
1/1/1950,280.828,13,,,,,,,,,,,,,,,
4/1/1950,290.383,14,,,,,,,,,,,,,,,
7/1/1950,308.153,15,,,,,,,,,,,,,,,
10/1/1950,319.945,16,,,,,,,,,,,,,,,
1/1/1951,336,17,,,,,,,,,,,,,,,
4/1/1951,344.09,18,,,,,,,,,,,,,,,
7/1/1951,351.385,19,,,,,,,,,,,,,,,
10/1/1951,356.178,20,,,,,,,,,,,,,,,
1/1/1952,359.82,21,,,,,,,,,,,,,,,
4/1/1952,361.03,22,,,,,,,,,,,,,,,
7/1/1952,367.701,23,,,,,,,,,,,,,,,
10/1/1952,380.812,24,,,,,,,,,,,,,,,
1/1/1953,387.98,25,,,,,,,,,,,,,,,
4/1/1953,391.749,26,,,,,,,,,,,,,,,
7/1/1953,391.171,27,,,,,,,,,,,,,,,
10/1/1953,385.97,28,,,,,,,,,,,,,,,
1/1/1954,385.345,29,,,,,,,,,,,,,,,
4/1/1954,386.121,30,,,,,,,,,,,,,,,
7/1/1954,390.996,31,,,,,,,,,,,,,,,
10/1/1954,399.734,32,,,,,,,,,,,,,,,
1/1/1955,413.073,33,,,,,,,,,,,,,,,
4/1/1955,421.532,34,,,,,,,,,,,,,,,
7/1/1955,430.221,35,,,,,,,,,,,,,,,
10/1/1955,437.092,36,,,,,,,,,,,,,,,
1/1/1956,439.746,37,,,,,,,,,,,,,,,
4/1/1956,446.01,38,,,,,,,,,,,,,,,
7/1/1956,451.191,39,,,,,,,,,,,,,,,
10/1/1956,460.463,40,,,,,,,,,,,,,,,
1/1/1957,469.779,41,,,,,,,,,,,,,,,
4/1/1957,472.025,42,,,,,,,,,,,,,,,
7/1/1957,479.49,43,,,,,,,,,,,,,,,
10/1/1957,474.864,44,,,,,,,,,,,,,,,
1/1/1958,467.54,45,,,,,,,,,,,,,,,
4/1/1958,471.978,46,,,,,,,,,,,,,,,
7/1/1958,485.841,47,,,,,,,,,,,,,,,
10/1/1958,499.555,48,,,,,,,,,,,,,,,
1/1/1959,510.33,49,,,,,,,,,,,,,,,
4/1/1959,522.653,50,,,,,,,,,,,,,,,
7/1/1959,525.034,51,,,,,,,,,,,,,,,
10/1/1959,528.6,52,,,,,,,,,,,,,,,
1/1/1960,542.648,53,,,,,,,,,,,,,,,
4/1/1960,541.08,54,,,,,,,,,,,,,,,
7/1/1960,545.604,55,,,,,,,,,,,,,,,
10/1/1960,540.197,56,,,,,,,,,,,,,,,
1/1/1961,545.018,57,,,,,,,,,,,,,,,
4/1/1961,555.545,58,,,,,,,,,,,,,,,
7/1/1961,567.664,59,,,,,,,,,,,,,,,
10/1/1961,580.612,60,,,,,,,,,,,,,,,
1/1/1962,594.013,61,,,,,,,,,,,,,,,
4/1/1962,600.366,62,,,,,,,,,,,,,,,
7/1/1962,609.027,63,,,,,,,,,,,,,,,
10/1/1962,612.28,64,,,,,,,,,,,,,,,
1/1/1963,621.672,65,,,,,,,,,,,,,,,
4/1/1963,629.752,66,,,,,,,,,,,,,,,
7/1/1963,644.444,67,,,,,,,,,,,,,,,
10/1/1963,653.938,68,,,,,,,,,,,,,,,
1/1/1964,669.822,69,,,,,,,,,,,,,,,
4/1/1964,678.674,70,,,,,,,,,,,,,,,
7/1/1964,692.031,71,,,,,,,,,,,,,,,
10/1/1964,697.319,72,,,,,,,,,,,,,,,
1/1/1965,717.79,73,,,,,,,,,,,,,,,
4/1/1965,730.191,74,,,,,,,,,,,,,,,
7/1/1965,749.323,75,,,,,,,,,,,,,,,
10/1/1965,771.857,76,,,,,,,,,,,,,,,
1/1/1966,795.734,77,,,,,,,,,,,,,,,
4/1/1966,804.981,78,,,,,,,,,,,,,,,
7/1/1966,819.638,79,,,,,,,,,,,,,,,
10/1/1966,833.302,80,,,,,,,,,,,,,,,
1/1/1967,844.17,81,,,,,,,,,,,,,,,
4/1/1967,848.983,82,,,,,,,,,,,,,,,
7/1/1967,865.233,83,,,,,,,,,,,,,,,
10/1/1967,881.439,84,,,,,,,,,,,,,,,
1/1/1968,909.387,85,,,,,,,,,,,,,,,
4/1/1968,934.344,86,,,,,,,,,,,,,,,
7/1/1968,950.825,87,,,,,,,,,,,,,,,
10/1/1968,968.03,88,,,,,,,,,,,,,,,
1/1/1969,993.337,89,,,,,,,,,,,,,,,
4/1/1969,1009.02,90,,,,,,,,,,,,,,,
7/1/1969,1029.956,91,,,,,,,,,,,,,,,
10/1/1969,1038.147,92,,,,,,,,,,,,,,,
1/1/1970,1051.2,93,,,,,,,,,,,,,,,
4/1/1970,1067.375,94,,,,,,,,,,,,,,,
7/1/1970,1086.059,95,,,,,,,,,,,,,,,
10/1/1970,1088.608,96,,,,,,,,,,,,,,,
1/1/1971,1135.156,97,,,,,,,,,,,,,,,
4/1/1971,1156.271,98,,,,,,,,,,,,,,,
7/1/1971,1177.675,99,,,,,,,,,,,,,,,
10/1/1971,1190.297,100,,,,,,,,,,,,,,,
1/1/1972,1230.609,101,,,,,,,,,,,,,,,
4/1/1972,1266.369,102,,,,,,,,,,,,,,,
7/1/1972,1290.566,103,,,,,,,,,,,,,,,
10/1/1972,1328.904,104,,,,,,,,,,,,,,,
1/1/1973,1377.49,105,,,,,,,,,,,,,,,
4/1/1973,1413.887,106,,,,,,,,,,,,,,,
7/1/1973,1433.838,107,,,,,,,,,,,,,,,
10/1/1973,1476.289,108,,,,,,,,,,,,,,,
1/1/1974,1491.209,109,,,,,,,,,,,,,,,
4/1/1974,1530.056,110,,,,,,,,,,,,,,,
7/1/1974,1560.026,111,,,,,,,,,,,,,,,
10/1/1974,1599.679,112,,,,,,,,,,,,,,,
1/1/1975,1616.116,113,,,,,,,,,,,,,,,
4/1/1975,1651.853,114,,,,,,,,,,,,,,,
7/1/1975,1709.82,115,,,,,,,,,,,,,,,
10/1/1975,1761.831,116,,,,,,,,,,,,,,,
1/1/1976,1820.487,117,,,,,,,,,,,,,,,
4/1/1976,1852.332,118,,,,,,,,,,,,,,,
7/1/1976,1886.558,119,,,,,,,,,,,,,,,
10/1/1976,1934.273,120,,,,,,,,,,,,,,,
1/1/1977,1988.648,121,,,,,,,,,,,,,,,
4/1/1977,2055.909,122,,,,,,,,,,,,,,,
7/1/1977,2118.473,123,,,,,,,,,,,,,,,
10/1/1977,2164.27,124,,,,,,,,,,,,,,,
1/1/1978,2202.76,125,,,,,,,,,,,,,,,
4/1/1978,2331.633,126,,,,,,,,,,,,,,,
7/1/1978,2395.053,127,,,,,,,,,,,,,,,
10/1/1978,2476.949,128,,,,,,,,,,,,,,,
1/1/1979,2526.61,129,,,,,,,,,,,,,,,
4/1/1979,2591.247,130,,,,,,,,,,,,,,,
7/1/1979,2667.565,131,,,,,,,,,,,,,,,
10/1/1979,2723.883,132,,,,,,,,,,,,,,,
1/1/1980,2789.842,133,,,,,,,,,,,,,,,
4/1/1980,2797.352,134,,,,,,,,,,,,,,,
7/1/1980,2856.483,135,,,,,,,,,,,,,,,
10/1/1980,2985.557,136,,,,,,,,,,,,,,,
1/1/1981,3124.206,137,,,,,,,,,,,,,,,
4/1/1981,3162.532,138,,,,,,,,,,,,,,,
7/1/1981,3260.609,139,,,,,,,,,,,,,,,
10/1/1981,3280.818,140,,,,,,,,,,,,,,,
1/1/1982,3274.302,141,,,,,,,,,,,,,,,
4/1/1982,3331.972,142,,,,,,,,,,,,,,,
7/1/1982,3366.322,143,,,,,,,,,,,,,,,
10/1/1982,3402.561,144,,,,,,,,,,,,,,,
1/1/1983,3473.413,145,,,,,,,,,,,,,,,
4/1/1983,3578.848,146,,,,,,,,,,,,,,,
