Diagnosed Diabetes; Total (Total); Adults Aged 20+ Years; Crude Number; U.S. Counties; 2017,,,,,
Data downloaded on 12-June-2021,,,,,
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Bedford City,Virginia,51515,No Data,No Data,No Data
Shannon County,South Dakota,46113,No Data,No Data,No Data
Wrangell-Petersburg Census Area,Alaska,2280,No Data,No Data,No Data
Wade Hampton Census Area,Alaska,2270,No Data,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,2232,No Data,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,2201,No Data,No Data,No Data
Loving County,Texas,48301,Suppressed,Suppressed,Suppressed
Kalawao County,Hawaii,15005,10,3,23
King County,Texas,48269,20,9,41
Arthur County,Nebraska,31005,23,9,46
Blaine County,Nebraska,31009,28,15,50
Kenedy County,Texas,48261,32,15,65
Borden County,Texas,48033,35,17,61
Grant County,Nebraska,31075,36,20,58
Clark County,Idaho,16033,37,16,69
Petroleum County,Montana,30069,37,13,70
Slope County,North Dakota,38087,38,19,69
Billings County,North Dakota,38007,40,18,74
Mcpherson County,Nebraska,31117,42,22,74
Terrell County,Texas,48443,42,20,110
Skagway Municipality,Alaska,2230,46,21,95
Yakutat City and Borough,Alaska,2282,47,13,109
San Juan County,Colorado,8111,47,24,79
Hooker County,Nebraska,31091,47,26,76
Thomas County,Nebraska,31171,51,31,79
Esmeralda County,Nevada,32009,51,25,101
Loup County,Nebraska,31115,53,32,85
Roberts County,Texas,48393,56,26,110
Logan County,Nebraska,31113,58,32,92
Harding County,New Mexico,35021,59,27,108
Mcmullen County,Texas,48311,59,29,108
Alpine County,California,6003,60,25,132
Mineral County,Colorado,8079,61,32,102
Golden Valley County,Montana,30037,61,30,104
Hinsdale County,Colorado,8053,63,30,111
Hyde County,South Dakota,46069,64,33,116
Camas County,Idaho,16025,65,29,140
Harding County,South Dakota,46063,68,28,157
Banner County,Nebraska,31007,69,37,115
Sioux County,Nebraska,31165,72,43,116
Wheeler County,Nebraska,31183,72,45,103
Kent County,Texas,48263,73,40,120
Glasscock County,Texas,48173,75,29,169
Hayes County,Nebraska,31085,76,46,114
Treasure County,Montana,30103,78,44,127
Jones County,South Dakota,46075,86,43,144
Keya Paha County,Nebraska,31103,88,53,127
Sterling County,Texas,48431,89,36,187
Kiowa County,Colorado,8061,90,47,158
Campbell County,South Dakota,46021,90,44,165
Wibaux County,Montana,30109,91,50,158
Prairie County,Montana,30079,102,58,168
Dundy County,Nebraska,31057,102,55,167
Stonewall County,Texas,48433,106,53,187
Stanton County,Kansas,20187,107,56,204
Garfield County,Montana,30033,107,59,173
Carter County,Montana,30011,108,64,171
Daggett County,Utah,49009,108,53,185
Irion County,Texas,48235,110,52,188
Dickens County,Texas,48125,112,54,207
Piute County,Utah,49031,112,58,182
Eureka County,Nevada,32011,113,62,199
Sheridan County,North Dakota,38083,113,68,167
Jackson County,Colorado,8057,116,56,223
Burke County,North Dakota,38013,118,70,187
Sherman County,Oregon,41055,119,53,207
Bristol Bay Borough,Alaska,2060,121,71,183
Golden Valley County,North Dakota,38033,121,74,185
Oliver County,North Dakota,38065,122,72,188
Greeley County,Kansas,20071,123,54,226
Dolores County,Colorado,8033,126,63,206
Cheyenne County,Colorado,8017,128,68,216
Wallace County,Kansas,20199,128,73,215
Divide County,North Dakota,38023,129,68,212
Edwards County,Texas,48137,129,63,235
Motley County,Texas,48345,129,64,236
Denali Borough,Alaska,2068,131,55,274
Lake and Peninsula Borough,Alaska,2164,131,72,216
Mccone County,Montana,30055,131,75,210
Powder River County,Montana,30075,131,74,208
Hanson County,South Dakota,46061,133,61,269
Comanche County,Kansas,20033,135,74,223
Issaquena County,Mississippi,28055,135,49,291
Gosper County,Nebraska,31073,135,71,237
Wheatland County,Montana,30107,136,71,224
Deuel County,Nebraska,31049,136,89,203
Briscoe County,Texas,48045,137,54,287
Haakon County,South Dakota,46055,138,89,203
Sheridan County,Kansas,20179,139,74,231
Sully County,South Dakota,46119,139,77,228
Foard County,Texas,48155,142,77,271
Sherman County,Texas,48421,142,59,371
Rich County,Utah,49033,142,72,249
Rock County,Nebraska,31149,144,94,202
Wichita County,Kansas,20203,145,93,203
Haines Borough,Alaska,2100,146,75,252
Lane County,Kansas,20101,149,74,272
Kidder County,North Dakota,38043,152,85,249
Miner County,South Dakota,46097,152,75,288
Wayne County,Utah,49055,153,83,267
Harper County,Oklahoma,40059,154,69,265
Faulk County,South Dakota,46049,157,75,272
Cottle County,Texas,48101,157,76,292
Logan County,North Dakota,38047,158,97,242
Armstrong County,Texas,48011,159,76,317
Niobrara County,Wyoming,56027,159,96,253
Culberson County,Texas,48109,160,73,314
Garden County,Nebraska,31069,162,95,252
Lincoln County,Kansas,20105,163,89,262
Garfield County,Nebraska,31071,163,109,233
Upton County,Texas,48461,163,73,303
Renville County,North Dakota,38075,164,94,267
Pawnee County,Nebraska,31133,165,107,244
Boyd County,Nebraska,31015,166,105,241
Eddy County,North Dakota,38027,166,109,242
Wheeler County,Oregon,41069,166,90,279
Clark County,Kansas,20025,167,96,272
Potter County,South Dakota,46107,167,93,279
Throckmorton County,Texas,48447,167,69,309
Reagan County,Texas,48383,168,73,336
Frontier County,Nebraska,31063,171,105,256
Taliaferro County,Georgia,13265,172,39,568
Rawlins County,Kansas,20153,173,98,268
Sierra County,California,6091,175,75,401
Fallon County,Montana,30025,176,109,266
Oldham County,Texas,48359,176,72,416
Meagher County,Montana,30059,177,102,275
Rush County,Kansas,20165,181,106,271
Hemphill County,Texas,48211,181,67,451
Menard County,Texas,48327,181,77,352
Mellette County,South Dakota,46095,185,135,251
Towner County,North Dakota,38095,187,101,312
Collingsworth County,Texas,48087,188,89,364
Coke County,Texas,48081,189,92,336
Daniels County,Montana,30019,190,110,316
Cimarron County,Oklahoma,40025,192,95,345
Perkins County,Nebraska,31135,194,127,282
Hettinger County,North Dakota,38041,195,110,315
Butte County,Idaho,16023,196,113,310
Judith Basin County,Montana,30045,196,113,295
Mcintosh County,North Dakota,38051,196,119,305
Lipscomb County,Texas,48295,196,90,385
Gilliam County,Oregon,41021,197,109,331
Jeff Davis County,Texas,48243,198,88,405
Smith County,Kansas,20183,202,111,344
Sedgwick County,Colorado,8115,203,104,346
Greeley County,Nebraska,31077,204,136,279
Highland County,Virginia,51091,204,109,353
Kusilvak Census Area,Alaska,2158,209,67,381
Concho County,Texas,48095,209,111,364
Crane County,Texas,48103,209,66,518
Hand County,South Dakota,46059,210,97,370
Knox County,Texas,48275,211,102,411
Hodgeman County,Kansas,20083,214,119,348
Crockett County,Texas,48105,214,93,421
Hall County,Texas,48191,214,101,408
Quitman County,Georgia,13239,215,99,380
Kiowa County,Kansas,20097,215,127,329
Buffalo County,South Dakota,46017,218,138,327
Steele County,North Dakota,38091,222,136,329
Petersburg Census Area,Alaska,2195,227,124,368
Bowman County,North Dakota,38011,227,145,344
Chase County,Nebraska,31029,228,153,319
Chase County,Kansas,20017,229,133,365
Fisher County,Texas,48151,229,125,374
San Miguel County,Colorado,8113,230,98,405
Martin County,Texas,48317,231,98,478
Perkins County,South Dakota,46105,234,140,362
Garfield County,Washington,53023,234,175,299
Ness County,Kansas,20135,238,148,350
Adams County,North Dakota,38001,238,142,353
Culebra Municipio,Puerto Rico,72049,239,187,299
Robertson County,Kentucky,21201,242,122,433
Brown County,Nebraska,31017,245,165,335
Liberty County,Montana,30051,246,143,383
Alexander County,Illinois,17003,247,99,492
Haskell County,Kansas,20081,248,144,379
Griggs County,North Dakota,38039,248,161,362
Guadalupe County,New Mexico,35019,249,141,411
Lamoure County,North Dakota,38045,251,175,345
Chautauqua County,Kansas,20019,252,143,404
Nelson County,North Dakota,38063,252,175,347
Real County,Texas,48385,252,123,441
Sheridan County,Montana,30091,253,165,356
Franklin County,Nebraska,31061,256,169,359
Hoonah-Angoon Census Area,Alaska,2105,258,122,425
Republic County,Kansas,20157,258,167,376
Stanley County,South Dakota,46117,258,126,433
Cheyenne County,Kansas,20023,261,141,432
Edwards County,Kansas,20047,261,148,442
Jerauld County,South Dakota,46073,261,139,465
Cochran County,Texas,48079,261,110,557
Decatur County,Kansas,20039,262,167,393
Trego County,Kansas,20195,262,160,398
Sherman County,Nebraska,31163,262,187,360
Morton County,Kansas,20129,263,156,415
Douglas County,South Dakota,46043,264,144,435
Harmon County,Oklahoma,40057,266,135,529
Shackelford County,Texas,48417,266,142,459
